Feature,Score
student__demographics_avg_family_income,9.26032207469028
student__avg_dependent_income_2014dollars,0.977449243609081
student__demographics_race_ethnicity_black,0.96404658196385
aid__loan_principal,0.634749589956336
student__demographics_median_family_income,0.427998204464504
custom__carnegie_undergrad_low,0.401731381625052
aid__median_debt_number_pell_grant,0.400362447808972
student__share_lowincome_0_30000,0.360638979148005
student__students_with_pell_grant,0.330728672316374
student__demographics_race_ethnicity_asian,0.251367100715579
aid__cumulative_debt_90th_percentile,0.241063896958237
student__demographics_age_entry,0.215537026939255
aid__median_debt_completers_overall,0.165548673991541
aid__median_debt_number_income_0_30000,0.154021152649324
student__avg_independent_income_2014dollars,0.15213826275819
school__branches,0.142378056441487
custom__school_state_high,0.113099089335877
student__fafsa_sent_2_college_allyrs,0.108311895022463
aid__median_debt_number_noncompleters,0.107142075138608
completion__completion_rate_4yr_150nt,0.100094906107923
aid__federal_loan_rate,0.0858269733208701
aid__students_with_any_loan,0.080396473127359
aid__median_debt_dependent_students,0.076953698286875
aid__cumulative_debt_number,0.0701186380911691
student__share_firstgeneration_parents_somecollege,0.0687199039040927
custom__school_region_low,0.0685629841748598
student__fafsa_sent_3_college_allyrs,0.0667184719514724
aid__cumulative_debt_75th_percentile,0.0666480377835565
school__instructional_expenditure_per_fte,0.0586390626535236
custom__school_carnegie_size_setting_low,0.0583755802965324
student__demographics_married,0.0579896659942101
aid__median_debt_first_generation_students,0.0554497032648271
student__fafsa_sent_4_college_allyrs,0.0534487589141976
completion__completion_rate_4yr_150nt_pooled,0.0522331884606055
student__fafsa_sent_5plus_college_allyrs,0.0518600956070019
student__share_middleincome_48001_75000,0.0498231852073623
aid__median_debt_income_0_30000,0.0494609017599261
student__share_dependent_lowincome_0_300000,0.0490236701483724
student__demographics_race_ethnicity_non_resident_alien,0.0483841113557899
aid__median_debt_income_30001_75000,0.0467765013879271
cost__tuition_program_year,0.0456622323515656
aid__median_debt_number_completers,0.0453779397000291
aid__cumulative_debt_25th_percentile,0.0449975743628084
student__share_independent_lowincome_0_30000,0.0436003012210566
aid__median_debt_number_male_students,0.0390152279127847
custom__academics_program_percentage_health,0.0378657722604752
aid__pell_grant_rate,0.0377447175125001
aid__median_debt_independent_students,0.037614703112836
student__share_highincome_75001_110000,0.0374091188132217
aid__median_debt_number_no_pell_grant,0.0369853743694586
admissions__admission_rate_by_ope_id,0.0354530434911915
aid__median_debt_number_first_generation_students,0.0346376155085872
student__demographics_female_share,0.0328227333850419
school__ownership_Private for-profit,0.0322990985733043
student__FAFSA_applications,0.0317373343827727
student__family_income_independent_students,0.0311031637868595
student__demographics_race_ethnicity_hispanic,0.0303941550446893
custom__sat_0,0.0302546591508026
custom__carnegie_basic_low,0.0299711172489756
completion__completion_rate_less_than_4yr_150nt_pooled,0.0292770036336663
student__share_dependent_middleincome_300001_48000,0.0281414477621427
student__demographics_dependent,0.0279137192574765
aid__median_debt_number_dependent_students,0.0273631140452597
student__share_dependent_middleincome_48001_75000,0.0272228960292535
student__share_middleincome_30001_48000,0.0260174122546069
aid__median_debt_number_income_30001_75000,0.0257639355754042
school__tuition_revenue_per_fte,0.0250323947584361
student__family_income_dependent_students,0.0233696678007291
aid__median_debt_noncompleters,0.0223760520887604
completion__completion_rate_less_than_4yr_100nt,0.02170530534916
aid__median_debt_number_non_first_generation_students,0.0215387413995609
cost__attendance_program_year,0.0211837891313937
cost__attendance_academic_year,0.0197054275964206
aid__median_debt_male_students,0.0187214487091625
cost__title_iv_private_by_income_level_30001_48000,0.018632273631825
cost__tuition_out_of_state,0.0178426972611545
aid__median_debt_number_income_greater_than_75000,0.0177542270077673
school__faculty_salary,0.0171821855773899
aid__median_debt_female_students,0.0171442537945534
aid__median_debt_number_female_students,0.016770267547594
student__share_independent_middleincome_48001_75000,0.0158749073238251
completion__transfer_rate_4yr_full_time,0.0152482127595999
aid__median_debt_number_independent_students,0.0148480490635263
completion__completion_rate_less_than_4yr_150nt,0.0148388164396183
student__demographics_race_ethnicity_white,0.0146970260448551
student__share_highincome_110001plus,0.0138628006861499
aid__median_debt_pell_grant,0.0133741215934222
student__demographics_women,0.0133255265208119
student__share_independent_middleincome_30001_48000,0.0126564991447582
student__retention_rate_four_year_full_time,0.012398499712285
custom__carnegie_basic_doc,0.0115858945634608
student__demographics_race_ethnicity_aian,0.0112117634437068
aid__median_debt_no_pell_grant,0.0111771748572753
student__share_firstgeneration_parents_highschool,0.0107781605324826
student__demographics_race_ethnicity_nhpi,0.0106960831616982
student__parents_education_level,0.0103813706312046
custom__academics_program_bachelors_good,0.0084186465986793
cost__net_price_public_by_income_level_75001_110000,0.00836761542388942
cost__title_iv_public_by_income_level_30001_48000,0.00822342599127168
custom__log_student__demographics_veteran,0.00702772397104035
cost__tuition_in_state,0.00682779547523271
student__demographics_race_ethnicity_unknown,0.00642576212373758
custom__carnegie_undergrad_four_year,0.00615416032259031
completion__completion_cohort_less_than_4yr_150nt,0.00558883127646137
completion__completion_cohort_4yr_150nt_pooled,0.00540637120986975
